|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|embedding|cluster
0|0|000631669c|1|10|799.0|newbie|Other|new|not refubirshed|OTHER|no|79.9|reputation: newbie; products: 1; stock: 10; priceproduct: 79.9; logistictype: Other; refurbished: not refubirshed; conditionproduct: new; Categories: OTHER; regularprice: no; Cluster:4|51|"[-2.21596323e-02 -9.54020798e-05 -1.69229768e-02 ...  9.86680575e-03
  2.25442462e-02 -2.50553247e-03]"|4
1|1|0007153bca|2|55|798.0|green|Cross Docking|new|not refubirshed|OTHER|no|14.51|reputation: green; products: 2; stock: 55; priceproduct: 14.51; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: OTHER; regularprice: no; Cluster:1|53|"[-0.00802848 -0.00066579  0.02478422 ... -0.01031809  0.01472632
  0.01654759]"|1
2|2|000bee3c3b|2|0|765.0|newbie|Cross Docking|new|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|no|inf|reputation: newbie; products: 2; stock: 0; priceproduct: inf; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: BOOKS, MULTIMEDIA & OTHER E!; regularprice: no; Cluster:2|59|"[-0.01315188  0.00914684 -0.00739275 ...  0.00254455  0.00859728
  0.0125195 ]"|2
3|3|000df2bd02|1|5|1550.0|green|Cross Docking|used|not refubirshed|ACC CARS & VANS|no|310.0|reputation: green; products: 1; stock: 5; priceproduct: 310.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; Categories: ACC CARS & VANS; regularprice: no; Cluster:1|58|"[-0.01230965  0.00261344  0.01979113 ... -0.00093972  0.02517026
  0.0086414 ]"|1
4|4|000e27cea2|2|6|915.0|green_silver|FulfilledbyMerchant,Cross Docking|new|not refubirshed|HOUSEHOLD ITEMS,HEALTH|no|152.5|reputation: green_silver; products: 2; stock: 6; priceproduct: 152.5; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: HOUSEHOLD ITEMS,HEALTH; regularprice: no; Cluster:3|66|"[ 0.01535017 -0.00776882  0.01826723 ...  0.00052023  0.00685021
  0.01766732]"|3
5|5|000e60a7db|8|2286|1030.53|green_platinum|FulfilledbyMerchant|new|not refubirshed|STATIONERY,OTHER,EROTIC,TOYS AND GAMES,SPORTS,HOUSEHOLD ITEMS,APPAREL ACCESSORIES|yes|0.45|reputation: green_platinum; products: 8; stock: 2286; priceproduct: 0.45; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; Categories: STATIONERY,OTHER,EROTIC,TOYS AND GAMES,SPORTS,HOUSEHOLD ITEMS,APPAREL ACCESSORIES; regularprice: yes; Cluster:0|85|"[ 0.03020488 -0.00942108  0.01447538 ...  0.00278779  0.01431672
  0.02740953]"|0
6|6|0010491a4b|1|1|17000.0|newbie|DropShipping|new|not refubirshed|ANTIQUES & HOBBIES|no|17000.0|reputation: newbie; products: 1; stock: 1; priceproduct: 17000.0; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; Categories: ANTIQUES & HOBBIES; regularprice: no; Cluster:4|60|"[-0.00620477 -0.00546709 -0.01463383 ...  0.00075126  0.01683564
  0.00031033]"|4
7|7|0010978f04|2|388|259.12|green_silver|FulfilledbyMerchant,Cross Docking|new|not refubirshed|APPAREL,APPAREL ACCESSORIES|yes|0.67|reputation: green_silver; products: 2; stock: 388; priceproduct: 0.67; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: APPAREL,APPAREL ACCESSORIES; regularprice: yes; Cluster:3|68|"[ 0.01663621 -0.01226026  0.0020624  ... -0.00578767  0.02404869
  0.01834093]"|3
8|8|0012fdce4a|1|2|1449.5|red|Cross Docking|new|not refubirshed|FRAGRANCES & MAKE UP|no|724.75|reputation: red; products: 1; stock: 2; priceproduct: 724.75; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: FRAGRANCES & MAKE UP; regularprice: no; Cluster:1|58|"[ 0.00277353 -0.00862218  0.00105372 ... -0.00133866  0.00717528
  0.00736401]"|1
9|9|00143ac49b|2|4|2140.0|orange|Cross Docking|new|not refubirshed|APPAREL ACCESSORIES,TOYS AND GAMES|no|535.0|reputation: orange; products: 2; stock: 4; priceproduct: 535.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: APPAREL ACCESSORIES,TOYS AND GAMES; regularprice: no; Cluster:1|63|"[ 0.00238855  0.0034722  -0.00394877 ...  0.00640352  0.01553789
  0.02335979]"|1
10|10|00150d45aa|2|2|2943.05|green|Cross Docking|new|not refubirshed|APPAREL ACCESSORIES|yes,no|1471.52|reputation: green; products: 2; stock: 2; priceproduct: 1471.52; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: APPAREL ACCESSORIES; regularprice: yes,no; Cluster:1|59|"[ 0.00666884  0.0037444   0.03364134 ... -0.00849308  0.03135445
  0.02034128]"|1
11|11|0016716fd6|8|41|19192.0|green_silver|DropShipping|new|not refubirshed|FOOTWEAR|no|468.1|reputation: green_silver; products: 8; stock: 41; priceproduct: 468.1; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; Categories: FOOTWEAR; regularprice: no; Cluster:3|56|"[ 0.02602983 -0.000336    0.00760686 ... -0.00197821  0.01484369
  0.01679344]"|3
12|12|001906a3fe|2|2|949.0|green|Cross Docking|used|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|no|474.5|reputation: green; products: 2; stock: 2; priceproduct: 474.5; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; Categories: BOOKS, MULTIMEDIA & OTHER E!; regularprice: no; Cluster:1|62|"[-0.00286268  0.00835931  0.02087984 ... -0.01096376  0.01779582
  0.01109657]"|1
13|13|001988927a|2|173|2148.0|green_platinum|DropShipping|new|not refubirshed|APPAREL|no|12.42|reputation: green_platinum; products: 2; stock: 173; priceproduct: 12.42; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; Categories: APPAREL; regularprice: no; Cluster:0|56|"[ 0.03421682 -0.00895428  0.00465171 ... -0.0055646   0.02950328
  0.02708832]"|0
14|14|0020510765|1|16|112.5|green_silver|FulfilledbyMerchant|new|not refubirshed|FRAGRANCES & MAKE UP|yes|7.03|reputation: green_silver; products: 1; stock: 16; priceproduct: 7.03; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; Categories: FRAGRANCES & MAKE UP; regularprice: yes; Cluster:3|61|"[ 0.01259278 -0.01466154 -0.00347257 ... -0.00808043  0.00885892
  0.01440204]"|3
15|15|0021be2b0e|1|1774|235.0|green_silver|Cross Docking|new|not refubirshed|TEXTILES|no|0.13|reputation: green_silver; products: 1; stock: 1774; priceproduct: 0.13; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: TEXTILES; regularprice: no; Cluster:1|57|"[ 0.00405407 -0.0027843   0.02120354 ... -0.01385268  0.00932436
  0.0136079 ]"|1
16|16|00220f246f|4|157|1284.42|green_gold|Cross Docking|new|not refubirshed|MUSICAL INSTRUMENTS,SPORTS,HEALTH|yes|8.18|reputation: green_gold; products: 4; stock: 157; priceproduct: 8.18; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: MUSICAL INSTRUMENTS,SPORTS,HEALTH; regularprice: yes; Cluster:1|66|"[-0.01061993  0.0132122   0.01724123 ... -0.00589151  0.04308788
  0.01450453]"|1
17|17|0028bf6d73|1|1|19990.0|newbie|Cross Docking|used|not refubirshed|APPAREL ACCESSORIES|no|19990.0|reputation: newbie; products: 1; stock: 1; priceproduct: 19990.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; Categories: APPAREL ACCESSORIES; regularprice: no; Cluster:2|58|"[-0.00307265  0.01314135 -0.00576928 ...  0.0071176   0.02935156
  0.00439058]"|2
18|18|0029260890|1|1|426.0|green|Cross Docking|new|not refubirshed|APPAREL|no|426.0|reputation: green; products: 1; stock: 1; priceproduct: 426.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: APPAREL; regularprice: no; Cluster:1|55|"[ 0.00787903  0.00162934  0.01178869 ... -0.00993832  0.03423198
  0.01468364]"|1
19|19|002b9cfe2a|1|27|229.71|green_gold|FulfilledbyMerchant|new|not refubirshed|CAMERAS & DRONES|yes|8.51|reputation: green_gold; products: 1; stock: 27; priceproduct: 8.51; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; Categories: CAMERAS & DRONES; regularprice: yes; Cluster:3|60|"[-0.00382506  0.0096013   0.00762802 ... -0.00643891  0.02456282
  0.00758385]"|3
20|20|002d85b30e|7|189|19522.83|green|FulfilledbyMerchant,Cross Docking|new|not refubirshed,is refubirshed|IT PERIPHERALS, PARTS & ACCESSORIES,SMARTPHONES & TABLETS,WEARABLES,AUDIO & GENERAL ELECTRONICS|no|103.3|reputation: green; products: 7; stock: 189; priceproduct: 103.3; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed,is refubirshed; conditionproduct: new; Categories: IT PERIPHERALS, PARTS & ACCESSORIES,SMARTPHONES & TABLETS,WEARABLES,AUDIO & GENERAL ELECTRONICS; regularprice: no; Cluster:3|91|"[-0.01099246  0.02509719  0.00349598 ... -0.00632759  0.02712941
  0.02624831]"|3
