|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|totalcat|embedding|cluster
0|0|000631669c|1|10|799.0|newbie|Other|new|not refubirshed|OTHER|no|79.9|reputation: newbie; products: 1; stock: 10; priceproduct: 79.9; logistictype: Other; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|53|1|"[-0.01950474 -0.00050762 -0.01950474 ...  0.0058933   0.02590659
  0.00033701]"|2
1|1|0007153bca|2|55|798.0|green|Cross Docking|new|not refubirshed|OTHER|no|14.51|reputation: green; products: 2; stock: 55; priceproduct: 14.51; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00240626  0.00175491  0.0243417  ... -0.01246861  0.01560251
  0.02117058]"|1
2|2|000bee3c3b|2|0|765.0|newbie|Cross Docking|new|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|no|inf|reputation: newbie; products: 2; stock: 0; priceproduct: inf; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: no; Cluster:2|52|2|"[-0.01806306 -0.00117827 -0.00516726 ...  0.00101167  0.00689836
  0.02491303]"|2
3|3|000df2bd02|1|5|1550.0|green|Cross Docking|used|not refubirshed|ACC CARS & VANS|no|310.0|reputation: green; products: 1; stock: 5; priceproduct: 310.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00988506  0.01044073  0.0236598  ... -0.00598075  0.02358668
  0.00832772]"|1
4|4|000e27cea2|2|6|915.0|green_silver|FulfilledbyMerchant,Cross Docking|new|not refubirshed|HOUSEHOLD ITEMS,HEALTH|no|152.5|reputation: green_silver; products: 2; stock: 6; priceproduct: 152.5; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: no; Cluster:3|62|2|"[ 0.0024655  -0.00915122  0.01343808 ... -0.00548259  0.00947699
  0.02410709]"|3
5|5|000e60a7db|8|2286|1030.53|green_platinum|FulfilledbyMerchant|new|not refubirshed|STATIONERY,OTHER,EROTIC,TOYS AND GAMES,SPORTS,HOUSEHOLD ITEMS,APPAREL ACCESSORIES|yes|0.45|reputation: green_platinum; products: 8; stock: 2286; priceproduct: 0.45; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 7; regularprice: yes; Cluster:0|59|7|"[ 0.00508834 -0.01371341  0.00227986 ... -0.00324961  0.02470391
  0.02500814]"|0
6|6|0010491a4b|1|1|17000.0|newbie|DropShipping|new|not refubirshed|ANTIQUES & HOBBIES|no|17000.0|reputation: newbie; products: 1; stock: 1; priceproduct: 17000.0; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[ 0.00133785 -0.00460051 -0.02061438 ...  0.00645023  0.01803575
  0.0070546 ]"|2
7|7|0010978f04|2|388|259.12|green_silver|FulfilledbyMerchant,Cross Docking|new|not refubirshed|APPAREL,APPAREL ACCESSORIES|yes|0.67|reputation: green_silver; products: 2; stock: 388; priceproduct: 0.67; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: yes; Cluster:3|62|2|"[-3.78881050e-05 -1.92007646e-02  7.45723583e-03 ... -1.00495676e-02
  1.00115007e-02  2.31596846e-02]"|3
8|8|0012fdce4a|1|2|1449.5|red|Cross Docking|new|not refubirshed|FRAGRANCES & MAKE UP|no|724.75|reputation: red; products: 1; stock: 2; priceproduct: 724.75; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.01068789 -0.00471767  0.01198544 ...  0.00070409  0.01866069
  0.00739527]"|1
9|9|00143ac49b|2|4|2140.0|orange|Cross Docking|new|not refubirshed|APPAREL ACCESSORIES,TOYS AND GAMES|no|535.0|reputation: orange; products: 2; stock: 4; priceproduct: 535.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: no; Cluster:1|55|2|"[-0.02282494 -0.00069118  0.00462291 ...  0.00278165  0.00619147
  0.02306567]"|1
10|10|00150d45aa|2|2|2943.05|green|Cross Docking|new|not refubirshed|APPAREL ACCESSORIES|yes,no|1471.52|reputation: green; products: 2; stock: 2; priceproduct: 1471.52; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes,no; Cluster:1|57|1|"[-0.00906578 -0.00258261  0.03079279 ... -0.01002163  0.01842568
  0.02198434]"|1
