,seller_nickname,stock,price,Products,total_amount,Kmeans,AgC
0,000631669c,10,799.0,1,7990.0,0,3
1,0007153bca,55,798.0,2,43890.0,0,3
2,000bee3c3b,0,765.0,2,0.0,0,3
3,000df2bd02,5,1550.0,1,7750.0,0,3
4,000e27cea2,6,915.0,2,5490.0,0,3
5,000e60a7db,2286,1030.53,8,2355791.58,1,3
6,0010491a4b,1,17000.0,1,17000.0,0,3
7,0010978f04,388,259.12,2,100538.56,0,3
8,0012fdce4a,2,1449.5,1,2899.0,0,3
9,00143ac49b,4,2140.0,2,8560.0,0,3
10,00150d45aa,2,2943.05,2,5886.1,0,3
11,0016716fd6,41,19192.0,8,786872.0,1,3
12,001906a3fe,2,949.0,2,1898.0,0,3
13,001988927a,173,2148.0,2,371604.0,0,3
14,0020510765,16,112.5,1,1800.0,0,3
15,0021be2b0e,1774,235.0,1,416890.0,0,3
16,00220f246f,157,1284.42,4,201653.94,0,3
17,0028bf6d73,1,19990.0,1,19990.0,0,3
18,0029260890,1,426.0,1,426.0,0,3
19,002b9cfe2a,27,229.71,1,6202.17,0,3
20,002d85b30e,189,19522.83,7,3689814.87,1,3
21,002ed196eb,450,30755.83,17,13840123.5,5,0
22,0032d0112b,37,725.0,1,26825.0,0,3
23,003426c781,20,1161.61,1,23232.199999999997,0,3
24,00368f60af,1,15000.0,1,15000.0,0,3
25,00374db3c1,18,149.0,1,2682.0,0,3
26,003a562a8e,200,1592.8200000000002,2,318564.00000000006,0,3
27,003b36eb22,1408,1341.27,9,1888508.16,1,0
28,003dfc2043,4,720.0,1,2880.0,0,3
29,004017d0fa,10,21000.0,1,210000.0,0,3
30,0040e83ed1,1,398.0,1,398.0,0,3
31,004149c724,59,4712.92,6,278062.28,0,3
32,0042562fea,3,1200.0,1,3600.0,0,3
33,004286a872,56,1603.81,3,89813.36,0,3
34,00436106b8,1,1800.0,1,1800.0,0,3
35,004651fc58,222,3497.94,6,776542.68,0,3
36,0046ecb5dd,7,24999.0,1,174993.0,0,3
37,0047388f3c,1,300.0,1,300.0,0,3
38,00484b14b5,23,365.0,1,8395.0,0,3
39,0048fd19e8,1,242.0,1,242.0,0,3
40,00499405c6,7,310.15,1,2171.0499999999997,0,3
41,004a939be4,2,2299.0,1,4598.0,0,3
42,004b2a6a29,13,721.65,1,9381.449999999999,0,3
43,004b3006ae,9,279.99,1,2519.91,0,3
44,004cb3afd3,6,499.0,1,2994.0,0,3
45,004f0b0d94,1,3999.0,1,3999.0,0,3
46,004fca247a,1,2899.0,1,2899.0,0,3
47,0052716a37,1451,304.5,2,441829.5,0,3
48,0056d9f479,40,315.0,1,12600.0,0,3
49,0058c6773e,1,750.0,1,750.0,0,3
50,0059380655,187,29803.0,6,5573161.0,1,0
51,005b1913cf,287,13258.27,6,3805123.49,1,3
52,005b4e4d87,11,1289.0,1,14179.0,0,3
53,005cf1d7e3,76,280.0,1,21280.0,0,3
54,006218fb3c,94,141948.91,8,13343197.540000001,1,0
55,006270bf9e,1,400.0,1,400.0,0,3
56,0063a6dab5,1,780.0,1,780.0,0,3
57,0063ef7025,108,5289.0,5,571212.0,0,3
58,006485c91f,1,6000.0,1,6000.0,0,3
59,0067a5b1d8,12,4675.0,3,56100.0,0,3
60,006a867f15,0,2941.0,1,0.0,0,3
61,006b37c08d,8,249.0,1,1992.0,0,3
62,006dcf371d,10,840.0,1,8400.0,0,3
63,0071d13856,875,1459.51,6,1277071.25,0,3
64,0073dc130e,8,301.99,2,2415.92,0,3
65,0073df0b57,24,2958.0,5,70992.0,0,3
66,007592271e,1,59.0,1,59.0,0,3
67,0075c25320,75,64.42,1,4831.5,0,3
68,00764e8243,223,916.2900000000001,7,204332.67,0,3
69,007711b3f6,9,7347.0,3,66123.0,0,3
70,0077174f2d,1535,2495.0,4,3829825.0,0,3
71,00794da7b4,1196,1319.0,3,1577524.0,0,3
72,007997141b,2,1999.0,1,3998.0,0,3
73,007b45efd7,1,1379.0,1,1379.0,0,3
74,007cfaf95e,1084,856.1800000000001,2,928099.1200000001,0,3
75,007d6f6b34,326,2237.92,8,729561.92,1,3
76,007e12113b,1,950.0,1,950.0,0,3
77,007e52e318,17,530.0,1,9010.0,0,3
78,007f155c1d,49,2177.0,3,106673.0,0,3
79,00829f7e8f,28,644.31,2,18040.68,0,3
80,0084a843ff,345,841.3199999999999,6,290255.39999999997,0,3
81,00851e008a,26,3988.0,4,103688.0,0,3
82,008540dd6d,141,1798.0,2,253518.0,0,3
83,0085b3a890,4,1869.0,1,7476.0,0,3
84,0085fc93e0,349,4724.02,7,1648682.9800000002,1,3
85,008612cf63,170,48444.0,24,8235480.0,5,1
86,00879f5a50,398,322.15,1,128215.7,0,3
87,008a5e26c7,11,356.0,2,3916.0,0,3
88,008dedf031,5,1519.0,2,7595.0,0,3
89,008f3dda68,3,9800.0,1,29400.0,0,3
90,009564974a,24,1091.55,1,26197.199999999997,0,3
91,00979745c1,1,10500.0,1,10500.0,0,3
92,009873e9a3,1,1290.0,1,1290.0,0,3
