seller_nickname,stock,price,regular_price,Products,total_amount,regular_total_amount,Kmeans,AgC
000e60a7db,2286,1030.53,2583.58,8,2355791.58,2662456.6974,1,1
0010978f04,388,259.12,528.0,2,100538.56,136815.36000000002,1,3
00150d45aa,1,1519.05,1599.0,1,1519.05,2428960.9499999997,1,3
0020510765,16,112.5,125.0,1,1800.0,14062.5,1,3
00220f246f,157,1284.42,1942.6599999999999,4,201653.94,2495191.3572,1,3
002b9cfe2a,27,229.71,459.61,1,6202.17,105577.01310000001,1,3
002ed196eb,424,4695.83,4943.0,8,1991031.92,23211487.69,3,1
003b36eb22,1329,936.27,1779.0,7,1244302.83,1665624.33,1,1
003dfc2043,4,720.0,800.0,1,2880.0,576000.0,1,3
004149c724,39,4382.92,5711.0,5,170933.88,25030856.12,3,1
004286a872,56,1603.81,3563.0,3,89813.36,5714375.03,1,3
004651fc58,131,2197.96,2599.96,4,287932.76,5714608.0816,1,3
00499405c6,7,310.15,355.23,1,2171.0499999999997,110174.5845,1,3
004b2a6a29,13,721.65,849.0,1,9381.449999999999,612680.85,1,3
005b1913cf,287,13258.27,17743.0,6,3805123.49,235241484.61,2,0
005cf1d7e3,76,280.0,800.0,1,21280.0,224000.0,1,3
006218fb3c,51,4271.16,4665.219999999999,2,217829.16,19925901.055199996,1,1
0071d13856,875,1459.51,2313.0,6,1277071.25,3375846.63,1,1
0075c25320,75,64.42,89.9,1,4831.5,5791.358,1,3
00764e8243,190,818.1800000000001,1141.33,6,155454.2,933813.3794,1,3
007cfaf95e,1084,856.1800000000001,2132.48,2,928099.1200000001,1825786.7264,1,3
00829f7e8f,28,644.31,1308.0,2,18040.68,842757.48,1,3
0084a843ff,345,841.3199999999999,892.62,6,290255.39999999997,750979.0584,1,3
00851e008a,11,3819.0,4020.0,3,42009.0,15352380.0,1,1
00879f5a50,398,322.15,379.0,1,128215.7,122094.84999999999,1,3
009564974a,24,1091.55,1149.0,1,26197.199999999997,1254190.95,1,3
009eb376e2,8,959.0,1319.0,1,7672.0,1264921.0,1,3
00a4af0648,2346,1553.0,1800.0,1,3643338.0,2795400.0,1,1
00a86a059b,11,2952.09,3867.7,3,32472.99,11417798.493,1,1
00a8ca5aba,1,458.85,483.0,1,458.85,221624.55000000002,1,3
00ad09c0c2,9,679.52,1096.0,1,6115.68,744753.9199999999,1,3
00ae3c3eaf,798,3903.78,7435.0,5,3115216.44,29024604.3,3,1
00b19c63e9,58,2848.1,2998.0,2,165189.8,8538603.799999999,1,3
00bab35936,0,799.2,999.0,1,0.0,798400.8,1,3
00bbed6e9d,148,361.5,666.0,3,53502.0,240759.0,1,3
00c005a68b,35,7571.540000000001,8622.0,6,265003.9,65281817.88000001,3,1
00c44d289d,2,3917.6,4123.93,1,7835.2,16155908.168000001,1,1
00c979ade1,304,123.5,142.14,1,37544.0,17554.289999999997,1,3
00ccee74b6,15,2850.0,3000.0,4,42750.0,8550000.0,1,3
00ce61daf2,199,213.25,224.47,1,42436.75,47868.2275,1,3
00cf97a0d4,92,2747.75,3568.5,11,252793.0,9805345.875,3,1
00e6f16ec2,42,444.64,617.67,1,18674.88,274640.7888,1,3
00ed971ebb,1289,7426.64,8252.7,13,9572938.96,61289831.92800001,3,0
01010d0de4,8,283.1,298.0,1,2264.8,84363.8,1,3
01099b7bed,1997,5233.0,5589.17,10,10450301.0,29248126.61,3,1
010a3c78e9,87,701.85,825.87,1,61060.950000000004,579636.8595,1,3
010db3a824,28,448.94,523.77,2,12570.32,235141.3038,1,3
0111f556fc,42,604.45,785.0,1,25386.9,474493.25000000006,1,3
01166f8523,2487,8867.4,9471.03,15,22053223.8,83983411.422,0,2
0119429923,86,1935.0,2150.0,1,166410.0,4160250.0,1,3
011ca76133,28,306.8,329.9,1,8590.4,101213.31999999999,1,3
011d37626e,631,562.81,1265.14,5,355133.11,712033.4434,1,3
011f857c33,47,584.75,615.61,1,27483.25,359977.9475,1,3
012137d48f,2,629.85,760.0,1,1259.7,478686.0,1,3
01238fac46,216,126.27,280.59,1,27274.32,35430.099299999994,1,3
0125fd640f,24,1655.9199999999998,2291.0,9,39742.079999999994,3793712.7199999997,1,1
0126d4822f,4,194.35,299.0,1,777.4,58110.65,1,3
01292fa4a5,609,4932.65,5285.0,11,3003983.8499999996,26069055.249999996,3,1
0129d589a8,1,670.44,705.73,1,670.44,473149.62120000005,1,3
012b020169,2300,7989.889999999999,12373.66,13,18376747.0,98864182.2974,0,2
0134c3c438,9,1073.5,1130.0,2,9661.5,1213055.0,1,3
0138a3e97f,902,1520.42,1600.1200000000001,4,1371418.84,2432854.4504000004,1,3
013f003c5c,24,174.8,184.0,1,4195.200000000001,32163.2,1,3
0140080f85,313,143.85,295.55,1,45025.049999999996,42514.8675,1,3
01404c8bd6,50,52.38,149.65,1,2619.0,7838.667,1,3
0145dde378,178,1285.35,1353.0,8,228792.3,1739078.5499999998,1,1
014713690d,4,606.1,638.0,2,2424.4,386691.8,1,3
014c747ae6,75,284.68,378.0,2,21351.0,107609.04000000001,1,3
0153900a87,2,426.55,449.0,1,853.1,191520.95,1,3
016301d073,434,499.6,1026.0,3,216826.40000000002,512589.60000000003,1,3
0169a55e8d,7,3180.0,3347.37,2,22260.0,10644636.6,1,3
017065c0a6,179,307.29,673.0,4,55004.91,206806.17,1,3
0173c754d6,20992,949.52,999.46,3,19932323.84,949007.2592,0,2
01759e7fc6,12,1340.63,1678.0,3,16087.560000000001,2249577.14,1,3
017958ccb6,996,392.0,880.0,2,390432.0,344960.0,1,3
017d90e0a2,64,196.41,261.88,1,12570.24,51435.8508,1,3
018382c174,0,1558.3000000000002,1898.0,2,0.0,2957653.4000000004,1,3
0187518ff1,4,420.89,561.18,1,1683.56,236195.05019999997,1,3
018cc13428,7999,1225.99,1462.27,6,9806694.01,1792728.3973,0,2
0190f1c034,316,7458.9,10941.0,9,2357012.4,81607824.89999999,3,0
01932b51ec,43,1090.0,1270.0,1,46870.0,1384300.0,1,3
019e4cd124,724,447.6,539.0,2,324062.4,241256.40000000002,1,3
019fd371fc,6,560.0,700.0,1,3360.0,392000.0,1,3
01a235c2dc,86,209.39,266.96,2,18007.539999999997,55898.75439999999,1,3
01a742ded3,4616,3420.5699999999997,3759.91,10,15789351.12,12861035.348699998,0,2
01a76e3c00,14,645.05,679.0,1,9030.699999999999,437988.94999999995,1,3
01a99ea8df,68,193.2,210.0,1,13137.599999999999,40572.0,1,3
01aca86319,16,1169.1,1299.0,1,18705.6,1518660.9,1,3
01b0a98871,199,270.0,290.0,1,53730.0,78300.0,1,3
01b5527369,299,645.9,986.0,4,193124.1,636857.4,1,3
01b8bd07c1,662,263.01,276.85,1,174112.62,72814.31850000001,1,3
01bc636106,7,545.3,574.0,1,3817.0999999999995,313002.19999999995,1,3
01c8c26212,28,282.09,486.36,1,7898.5199999999995,137197.2924,1,3
01cd4c033b,5,1652.05,1739.0,1,8260.25,2872914.9499999997,1,3
01ce7ad240,84,3648.98,3874.9299999999994,8,306514.32,14139542.071399998,3,1
01cf794634,709,3219.6,5366.0,4,2282696.4,17276373.599999998,3,1
01d39e03db,13,363.54,438.0,1,4726.02,159230.52000000002,1,3
01d788baa6,51,391.14,521.52,1,19948.14,203987.33279999997,1,3
01dbe5cee2,296,1811.66,2137.0,3,536251.36,3871517.4200000004,1,3
01e06471e5,2,411.3,478.0,2,822.6,196601.4,1,3
01e8b6f6bf,15,130.94,299.11,1,1964.1,39165.4634,1,3
01e970c464,6,834.75,947.0,2,5008.5,790508.25,1,3
01e97da649,94,168.21,189.0,1,15811.740000000002,31791.690000000002,1,3
01e9b309b6,81,336.33,560.81,1,27242.73,188617.22729999997,1,3
01eeb63d5c,68,5707.71,7497.0,3,388124.28,42790701.87,3,1
01eed0bfff,358,5665.33,7628.0,5,2028188.14,43215137.24,3,1
01f6b062cf,81,935.3,1496.48,2,75759.3,1399657.744,1,3
01f8bef6eb,49,529.0,680.0,2,25921.0,359720.0,1,3
01fa80f3af,10,1205.97,1799.97,3,12059.7,2170709.8209,1,3
01ff89fac6,42,5597.83,8107.0,4,235108.86,45381607.81,3,1
020ee4305e,140,308.5,387.0,2,43190.0,119389.5,1,3
02116f7eb0,359,1880.37,2882.0,6,675052.83,5419226.34,1,1
0212f5b895,276,5035.74,5635.7300000000005,18,1389864.24,28380070.9902,3,1
0215433eea,10,17100.0,19000.0,1,171000.0,324900000.0,2,0
021ee39b5b,6,2993.92,3312.0,4,17963.52,9915863.040000001,1,1
021ffc6f09,32,729.53,935.3,1,23344.96,682329.409,1,3
02222b8a8e,697,3818.42,5246.9,28,2661438.74,20034867.898,3,1
02236d483a,5,153.3,219.0,1,766.5,33572.700000000004,1,3
0223e08171,4,456.0,480.0,1,1824.0,218880.0,1,3
0228976d80,2800,2466.5699999999997,2674.58,4,6906395.999999999,6597038.790599999,1,1
022f11227a,4,719.2,899.0,1,2876.8,646560.8,1,3
0230ad8450,130,841.64,1588.0,1,109413.2,1336524.32,1,3
0237192a93,83,2034.38,2339.8,4,168853.54,4760042.324000001,1,3
0237a83a59,2,16981.25,17875.0,1,33962.5,303539843.75,2,0
023d612567,1,750.5,790.0,1,750.5,592895.0,1,3
0240810279,164,239.81,436.22,1,39328.840000000004,104609.91820000001,1,3
0242efca08,4,2194.16,2398.0,2,8776.64,5261595.68,1,3
02463abc22,1499,295.55,311.27,1,443029.45,91995.8485,1,3
024a764a96,99,20226.2,21985.0,8,2002393.8,444673007.0,2,0
024b183647,0,104.94,174.9,1,0.0,18354.006,1,3
024cb8374c,30,295.45,311.0,1,8863.5,91884.95,1,3
024fdf4ae3,10,145.91,280.59,1,1459.1,40940.8869,1,3
02600df2bc,39,371.53000000000003,638.44,3,14489.670000000002,237199.61320000005,1,3
0268ab5a5e,137,3090.2200000000003,3297.0,3,423360.14,10188455.340000002,1,3
026924d3c5,10,1508.45,1898.0,2,15084.5,2863038.1,1,3
026966a174,40,168.99,259.99,1,6759.6,43935.710100000004,1,3
026978ae7b,702,3571.8,4173.0,2,2507403.6,14905121.4,1,1
0272727134,150,500.73,784.0,4,75109.5,392572.32,1,3
02755eb1f0,22,390.6,420.0,1,8593.2,164052.0,1,3
028024eb35,11,409.65999999999997,1178.48,2,4506.259999999999,482776.11679999996,1,3
028064d12b,5,645.99,679.99,1,3229.95,439266.7401,1,3
02831bb535,11,605.15,637.0,1,6656.65,385480.55,1,3
0285d6cc62,95,4666.96,6693.0,2,443361.2,31235963.28,3,1
0295507165,11,760.0,800.0,1,8360.0,608000.0,1,3
029cdaa0b2,264,542.47,935.3,1,143212.08000000002,507372.191,1,3
029efe1228,1827,517.59,897.9000000000001,3,945636.93,464744.0610000001,1,3
02a1ee9616,15,528.8199999999999,617.3,2,7932.299999999999,326440.58599999995,1,3
02a684e22b,360,7846.01,9449.0,11,2824563.6,74136948.49,3,0
02aed7c6c9,2,629.2,715.0,1,1258.4,449878.00000000006,1,3
02b0c056f8,90,599.2,749.0,1,53928.00000000001,448800.80000000005,1,3
02b15f5fd9,3,560.5,590.0,1,1681.5,330695.0,1,3
02b2aeb7c6,6,299.25,315.0,1,1795.5,94263.75,1,3
02b55e0bbd,296,339.15999999999997,796.89,3,100391.35999999999,270273.21239999996,1,3
02bc39a24e,33,471.48,521.0,5,15558.84,245641.08000000002,1,3
02bdf306e9,2,4412.59,4849.0,1,8825.18,21396648.91,1,1
02bf3caa84,499,286.2,301.35,1,142813.8,86246.37000000001,1,3
02c401db41,9,89.55,199.0,1,805.9499999999999,17820.45,1,3
02c539834b,57,215.12,935.3,1,12261.84,201201.736,1,3
02cfca7cd8,1,3999.2,4999.0,1,3999.2,19992000.8,1,1
02d4777989,1670,558.95,588.38,5,933446.5000000001,328875.00100000005,1,3
02d74fcbf9,9,8829.3,9294.0,6,79463.7,82059514.19999999,3,0
02e854e9f0,5,13567.0,15500.0,5,67835.0,210288500.0,3,0
02ead125bb,1,1612.98,1854.0,1,1612.98,2990464.92,1,3
02f84e1091,961,3216.99,4248.34,15,3091527.3899999997,13666867.2966,3,1
02ffc84169,70,712.5,750.0,1,49875.0,534375.0,1,3
030199a6c2,430,366.75,489.0,1,157702.5,179340.75,1,3
0304f3fb5e,1300,853.1800000000001,940.5400000000001,3,1109134.0,802449.9172000001,1,3
0305adeddd,6,216.05,748.24,1,1296.3000000000002,161657.252,1,3
0308f3156a,3,1292.0,1360.0,1,3876.0,1757120.0,1,3
0309c523df,30,239.44,318.0,1,7183.2,76141.92,1,3
0311c87237,5,116.55,259.0,1,582.75,30186.45,1,3
0315eafd6e,15,2293.3399999999997,2465.0,4,34400.1,5653083.1,1,3
031904ea04,143,1269.65,1925.6000000000001,5,181559.95,2444838.0400000005,1,3
031a8b8ed2,22,1500.3,3334.0,1,33006.6,5002000.2,1,3
031fefe4f4,99,268.81,517.22,1,26612.19,139033.9082,1,3
0320177b26,1802,608.31,1321.38,4,1096174.6199999999,803808.6677999999,1,3
032ebc1adf,52,108.87,129.61,1,5661.24,14110.640700000002,1,3
032f794748,6,995.17,1199.0,1,5971.0199999999995,1193208.8299999998,1,3
03315124b0,1,5319.05,5599.0,1,5319.05,29781360.95,1,1
03367ed9b9,200,706.34,788.64,2,141268.0,557047.9776,1,3
033dc577ba,15,155.73,207.64,1,2335.95,32335.777199999997,1,3
033e834557,1,561.6,780.0,1,561.6,438048.0,1,3
034083b64e,67,86.4,216.0,1,5788.8,18662.4,1,3
034afc2d48,154,693.92,775.0,3,106863.68,537788.0,1,3
034f1b3ee1,132,6153.15,6477.0,3,812215.7999999999,39853952.55,3,1
03586b9c81,100,3752.5,3950.0,1,375250.0,14822375.0,1,1
035e10f923,1724,2796.74,2983.98,6,4821579.76,8345416.225199999,1,1
03658a0dcb,38,228.01,297.45,2,8664.38,67821.57449999999,1,3
0368c9d7dd,28,96.71,215.12,1,2707.8799999999997,20804.2552,1,3
036d32eef1,568,5179.25,9236.43,13,2941814.0,47837780.0775,3,1
0376d546f6,8238,2833.4,3183.77,5,23341549.2,9020893.918,0,2
037c48321c,147,3208.37,3527.31,9,471630.38999999996,11316915.5847,3,1
038f278863,2,122.55,129.0,1,245.1,15808.949999999999,1,3
03974779e0,83,3299.77,3633.0,5,273880.91,11988064.41,1,1
039a58973a,506,399.2,499.0,1,201995.19999999998,199200.8,1,3
03a07c1c86,6,937.55,1255.0,3,5625.299999999999,1176625.25,1,3
